ISIN,RIC,Nombre,Gestora,Moneda,Categoria,Ratio de Sostenibilidad,Responsible Investments,Valoracion Lipper,MiFID II,SRRI,Categoria del riesgo,Fecha creacion,Valor Liquidativo,Patrimonio,Rentabilidad YTD,Rentabilidad 6 Meses,Rentabilidad 1 Year,Rentabilidad 3 Year,Rentabilidad 5 Year,Rentabilidad 10 Year,Volatilidad 1 Year,Volatilidad 3 Year,Volatilidad 5 Year,Maxima caida 1 Year,Maxima caida 3 Year,Maxima caida 5 Year,Alpha 1 Year,Alpha 3 Year,Alpha 5 Year,Beta 1 Year,Beta 3 Year,Beta 5 Year,Sharpe Ratio 1 Year,Sharpe Ratio 3 Year,Sharpe Ratio 5 Year,R^2 1 Year,R^2 3 Year,R^2 5 Year,Tracking Error 1 Year,Tracking Error 3 Year,Tracking Error 5 Year,Correlacion 1 Year,Correlacion 3 Year,Correlacion 5 Year,Information Ratio 1 Year,Information Ratio 3 Year,Information Ratio 5 Year,Inversion Minima,Comision de Gestion,Comision de Reembolso,Gastos Corrientes
ES0156873004,LP65027289,"A&G Renta Fija Corto Plazo, FI",A&G Fondos,EUR,RF Ultra Corto Plazo EUR,2,No,1,No,2,Bajo,2008-03-28 00:00:00,5.6725,76623312.6,0.91441,1.9262214,3.4221849,2.2809232,2.2072073,2.1299197,0.5288831,0.9561632,0.8371469,-0.0109192,-2.3888078,-2.4468468,-0.0184218,-0.0257117,0.0133775,2.4244494,2.4557641,3.3067416,-0.2493126,-0.3295534,-0.1364181,0.0246695,0.0457971,0.0626581,0.1420863,0.2003997,0.1945858,0.1570652,0.2140025,0.2503159,-0.2011545,-0.2505705,-0.0759417,1.0,0.0,0.0,0.28
ES0162957007,LP68678586,"A&P Lifescience Fund A, FI",Welzia Management,EUR,RV Sector Biotecnologia,2,No,No Registrado,No,7,Alto,2021-09-21 00:00:00,6.8251,2767301.0,6.7623,35.1894444,8.2625133,,,,29.7391506,,,-25.9601165,,,0.2764085,,,0.8705354,,,0.040816,,,0.1751606,,,7.7043393,,,0.418522,,,0.0345446,,,100000.0,0.0,0.0,0.68
ES0162957015,LP68678587,"A&P Lifescience Fund B, FI",Welzia Management,EUR,RV Sector Biotecnologia,2,No,No Registrado,No,7,Alto,2021-09-30 00:00:00,6.6875,591606.6,6.45326,34.619485,7.3399595,,,,29.7164143,,,-26.2210525,,,0.2050799,,,0.8706892,,,0.0323912,,,0.1752425,,,7.7034778,,,0.4186198,,,0.0252908,,,100.0,0.0,0.0,1.53
ES0140074016,LP68297471,"Abaco Global Value Opportunities B, FI",Abaco Capital,EUR,Mixtos Flexibles EUR - Global,2,No,3,No,4,Medio,2015-01-15 00:00:00,8.2342,18050515.25,2.86707,11.8767727,19.2016394,42.8939942,51.133051,,9.636069,12.2225104,21.243432,-3.616429,-11.9179844,-36.7439022,1.0318131,0.6471367,-0.1979894,0.0828562,0.3083809,0.9298391,0.4167831,0.2460358,0.1000182,0.0079609,0.1266892,0.4487121,3.8621582,4.3049545,4.6500567,0.0892238,0.3559343,0.6698597,-0.0646759,0.0384977,-0.0559314,1.0,0.0,3.0,0.62
ES0140074032,LP68458845,"Abaco Global Value Opportunities C, FI",Abaco Capital,EUR,Mixtos Flexibles EUR - Global,2,No,4,Si,4,Medio,2017-12-18 00:00:00,7.8435,2678331.5,2.4986,11.8661997,18.5535306,39.1712609,44.1019409,,9.7410599,12.2470211,21.238031,-3.70559,-12.2258029,-37.3678783,1.0188018,0.576088,-0.2759111,0.0596441,0.3051023,0.9281692,0.3956935,0.2245088,0.0872594,0.0040313,0.1233598,0.4465802,3.9371575,4.3248688,4.6622238,0.0634929,0.3512262,0.6682666,-0.0749834,0.0213656,-0.0728158,1.0,0.0,0.0,1.67
ES0140074008,LP68297470,"Abaco Global Value Opportunities I, FI",Abaco Capital,EUR,Mixtos Flexibles EUR - Global,2,No,4,Si,4,Medio,2015-01-28 00:00:00,7.6274,26242704.06,2.61674,10.9653086,17.6383587,38.7655906,44.1448798,,9.0929245,11.4483622,20.8750899,-3.3979621,-11.3932992,-36.8603346,0.9338214,0.5777314,-0.2670188,0.0742547,0.291097,0.9186831,0.3989051,0.2378116,0.0888103,0.0071649,0.1286262,0.4523589,3.775127,4.1947904,4.5647193,0.0846457,0.3586449,0.6725763,-0.095308,0.0200951,-0.0742624,500000.0,0.0,0.0,0.82
ES0140074024,LP68395127,"Abaco Global Value Opportunities R, FI",Abaco Capital,EUR,Mixtos Flexibles EUR - Global,2,No,4,Si,4,Medio,2016-11-29 00:00:00,7.6057,10746231.0,2.51375,11.3358958,17.8632996,38.1091901,42.6013266,,9.1947163,11.5586526,20.9069223,-3.4216977,-11.5901886,-37.0337661,0.9804978,0.5647095,-0.2847297,0.0522335,0.2908777,0.91842,0.400515,0.2315497,0.0857489,0.003467,0.1259765,0.4506013,3.8460313,4.2205922,4.5796367,0.0588812,0.3549316,0.6712684,-0.0894118,0.0168516,-0.0779386,1.0,0.0,0.0,1.12
ES0124526007,LP68678570,"Abaco Renta Fija B, FI",Abaco Capital,EUR,RF Otros,0,No,No Registrado,No,2,Bajo,2021-09-17 00:00:00,5.271,3665915.8,1.76462,3.3494794,7.0136252,,,,1.3071351,,,0.0,,,0.2492664,,,0.0014645,,,0.6519763,,,3.1e-05,,,1.4977389,,,0.0055677,,,0.4047227,,,1.0,0.0,0.0,0.71
ES0140072028,LP68458843,"Abaco Renta Fija Mixta Global C, FI",Abaco Capital,EUR,Mixtos Defensivos EUR - Global,2,No,5,Si,3,Medio,2017-12-18 00:00:00,8.4849,4888216.69,1.50009,4.6790887,9.2659024,20.9888066,27.4034171,,3.6250556,5.8664075,11.4821385,-1.0428014,-5.0638543,-22.044887,0.3981259,0.4026978,0.2734735,0.1293473,0.0372082,0.5409873,0.4061241,0.2365126,0.1005935,0.0361002,0.0021916,0.1004069,1.676631,2.6524214,3.3347977,0.1900005,0.046814,0.3168705,0.1402957,0.1825199,0.0650089,1.0,0.0,0.0,1.51
ES0140072002,LP68154089,"Abaco Renta Fija Mixta Global I, FI",Abaco Capital,EUR,Mixtos Defensivos EUR - Global,2,No,5,Si,3,Medio,2012-07-02 00:00:00,8.5884,59376979.14,1.64268,4.7744038,9.4875782,22.1419529,29.4404273,,3.465433,5.5741102,11.3547766,-0.9443516,-4.6080129,-22.0823833,0.4160083,0.4289164,0.2999842,0.1240398,0.0356578,0.5403905,0.4419151,0.2654841,0.1096133,0.0363427,0.0022319,0.102424,1.6559887,2.6017411,3.2977989,0.1906376,0.0472433,0.3200375,0.1522435,0.1962029,0.0737548,500000.0,0.0,0.0,0.86
